N;Time;Steps
100;77696;1328
150;639056;2280
200;196448;3237
250;227566;4287
300;264122;5440
350;316735;6344
400;384922;7634
450;466559;9043
500;361715;10034
550;466081;11038
600;193793;13228
650;769678;14324
700;213600;15435
750;154018;16528
800;200671;17632
850;235320;18739
900;240413;20716
950;297511;21862
1000;242952;24020
1050;154735;25221
1100;542610;26404
1150;254490;28761
1200;264370;28813
1250;324258;31264
1300;274835;32515
1350;283432;33754
1400;244008;36400
1450;506020;36246
1500;298583;39008
1550;120060;38758
1600;153859;43200
1650;116028;44558
1700;114318;42509
1750;123015;45488
1800;864602;46785
1850;144974;48086
1900;143291;49386
1950;148820;52639
2000;155710;53986
2050;159613;55343
2100;162427;56693
2150;167869;58020
2200;124265;59380
2250;167032;60718
2300;178675;62073
2350;192323;65775
2400;192540;67162
2450;203639;68566
2500;209243;69973
2550;198491;71367
2600;211829;72772
2650;218554;74170
2700;532123;75554
2750;498922;76963
2800;230378;78343
2850;300281;82598
2900;233701;81154
2950;177769;82544
3000;186036;86941
3050;284487;91435
3100;223386;89831
3150;215057;94443
3200;269489;95940
3250;268453;94192
3300;272922;95644
3350;284883;100429
3400;262720;98529
3450;301830;103433
3500;2833488;104918
3550;353839;106416
3600;225036;107921
3650;602566;109416
3700;330451;110920
3750;327581;112416
3800;306390;113925
3850;1551331;119265
3900;267510;116915
3950;335426;118410
4000;352254;127918
4050;276661;125453
4100;348475;122898
4150;264928;128530
4200;267079;130088
4250;269302;131644
4300;388012;133190
4350;368719;134740
4400;423278;136293
4450;372665;137838
4500;387333;139391
4550;318073;140938
4600;300573;142477
4650;402245;144035
4700;391288;145583
4750;424126;147125
4800;490993;148675
4850;616988;155073
4900;1121190;151776
4950;480915;158267
5000;526275;154860
5050;334383;161468
5100;403998;157960
5150;435165;164646
5200;505645;161057
5250;480501;167859
5300;456628;169448
5350;480705;171039
5400;467089;172638
5450;509137;174239
5500;495802;175835
5550;497904;177450
5600;2744595;173441
5650;902482;180644
5700;509116;176532
5750;502188;183838
5800;546360;185436
5850;622070;187024
5900;547537;188629
5950;680365;196169
6000;538270;191825
6050;614425;193424
6100;600269;201124
6150;903344;202771
6200;582980;204423
6250;552122;199820
6300;564279;207718
6350;889385;209357
6400;622646;211012
6450;1988818;212634
6500;933575;214296
6550;807762;215956
6600;547465;217596
6650;634829;219255
6700;826908;220899
6750;721549;222538
6800;826876;224178
6850;746532;225829
6900;648939;227480
6950;721585;229135
7000;786500;230787
7050;715502;232433
7100;627177;234080
7150;726889;235730
7200;738406;230183
7250;638438;239012
7300;945824;233372
7350;634540;242320
7400;722404;251360
7450;760281;245615
7500;774952;254766
7550;702427;256469
7600;909554;250555
7650;666681;267507
7700;767461;261558
7750;775741;263248
7800;839623;264945
7850;1069960;266650
7900;1292811;260456
7950;1007127;262090
8000;800844;263751
8050;825366;273426
8100;786022;275133
8150;835860;276829
8200;817850;278523
8250;959790;280228
8300;789058;281923
8350;884312;283627
8400;938214;285309
8450;832057;287009
8500;941253;288724
8550;835841;290418
8600;793541;292103
8650;831691;293822
8700;1064221;295507
8750;811915;297204
8800;1006907;298910
8850;1272917;300603
8900;1242695;302302
8950;865661;303998
9000;1418734;305708
9050;978456;307396
9100;936000;309099
9150;1126569;310793
9200;909330;312503
9250;929211;323434
9300;1144676;325180
9350;939986;326930
9400;1347847;328683
9450;919858;330442
9500;961909;322681
9550;1005117;343475
9600;918637;345276
9650;1031476;337428
9700;957915;339175
9750;965283;340917
9800;1000461;342677
9850;1030112;344431
9900;1128140;336262
9950;1219440;337964
10000;893330;349642
